id,character_id,display_name,category,armor_type,is_combat_enemy,kill_score,spirit_point_value,base_health,base_health_multiplier,provenance_origin,provenance_dev_name,provenance_source,provenance_source_authority
VV_BossChilgarLargeOrb,VV_BossChilgarLargeOrb,Large Orb,Enemy,Cloth,true,,,,,datamine,,,legacy_unbound
VV_BossFrostTroll,VV_BossFrostTroll,Fodir Kaldur,Boss,Leather,true,0.0,45.0,,18.2441,datamine,,,legacy_unbound
VV_BossFrostTroll_IceBlock,VV_BossFrostTroll_IceBlock,Ice Tomb,,,true,0.0,0.0,,0.25,datamine,,,legacy_unbound
VV_BossKaldursonFire,VV_BossKaldursonFire,Kaldurson Eldsupptok,Enemy,,true,15.0,15.0,,7.2333,datamine,,,legacy_unbound
VV_BossKaldursonIce,VV_BossKaldursonIce,Kaldurson Isilagður,Enemy,,true,15.0,15.0,,7.1892,datamine,,,legacy_unbound
VV_BossVikingMystic,VV_BossVikingMystic,Auga Handhafi the Blind,Boss,Leather,true,0.0,45.0,,18.9242,datamine,,,legacy_unbound
VV_BossVikingMystic_RuneMinion1,VV_BossVikingMystic_RuneMinion1,Nightmist Fiend,Enemy,,true,0.0,1.0,,0.6375,datamine,,,legacy_unbound
VV_ChilgarSpike,VV_ChilgarSpike,Grasping Pillar,Enemy,,true,0.0,1.0,,0.6375,datamine,,,legacy_unbound
VV_ColdbrineFiend,VV_ColdbrineFiend,Coldbrine Fiend,Enemy,Leather,true,3.0,3.0,,2.5233,datamine,,,legacy_unbound
VV_CravenHiisi,VV_CravenHiisi,Craven Hiisi,Enemy,Leather,true,1.0,1.0,,1.2987,datamine,,,legacy_unbound
VV_FrenziedLooter,VV_FrenziedLooter,Frenzied Looter,Enemy,Leather,true,1.0,1.0,,1.4193,datamine,,,legacy_unbound
VV_IcebitePillager,VV_IcebitePillager,Raging Pillager,Enemy,Leather,true,2.0,2.0,,2.665,datamine,,,legacy_unbound
VV_IcebiteReaver,VV_IcebiteReaver,Icebite Reaver,Elite,Leather,true,5.0,5.0,,4.291,datamine,,,legacy_unbound
VV_SootstainedArsonist,VV_SootstainedArsonist,Ashen Arsonist,Enemy,Leather,true,3.0,3.0,,2.30897,datamine,,,legacy_unbound
